começar, {event}, começo
perseguir, {event}, perseguição
deformar, {event}, deformação
incluir, {event}, inclusão
vencer, {event}, vitória
expirar, {event}, expiração
conspirar, {event}, conspiração
desvalorizar, {event}, desvalorização
corroer, {event}, corrosão
operar, {event}, operação
inflamar, {event}, inflamação
discordar, {event}, discórdia
ocupar, {event}, ocupação
reorientar, {event}, reorientação
defender, {agent}, defensor
consagrar, {event}, consagração
trair, {event}, traição
cheirar, {result}, cheiro
formalizar, {event}, formalização
enumerar, {event}, enumeração
cauterizar, {event}, cauterização
saquear, {undergoer}, saque
provar, {event}, prova
examinar, {event}, examinação
generalizar, {result}, generalização
angustiar, {event}, angústia
observar, {result}, observação
resolver, {result}, resolução
expropriar, {event}, expropriação
jogar, {agent}, jogador
abandonar, {event}, abandono
brotar, {event}, brotação
soldar, {byMeansOf}, solda
derreter, {event}, derretimento
suspeitar, {agent}, suspeito
consolidar, {event}, consolidação
sincronizar, {result}, sincronização
avançar, {event}, avanço
amputar, {event}, amputação
privar, {event}, privação
explodir, {event}, explosão
acentuar, {uses}, acentuação
integrar, {byMeansOf}, integração
inserir, {event}, inserção
incinerar, {event}, incineração
alucinar, {event}, alucinação
pecar, {agent}, pecador
processar, {event}, processo
hospitalizar, {event}, hospitalização
registrar, {event}, registro
viciar, {agent}, viciada
debater, {event}, debate
saquear, {undergoer}, saque
alugar, {event}, aluguel
começar, {event}, começo
reter, {event}, retenção
substituir, {event}, substituição
prever, {event}, previsão
misturar, {event}, mistura
picar, {uses}, picada
promulgar, {event}, promulgação
praticar, {byMeansOf}, prática
desvalorizar, {event}, desvalorização
permitir, {event}, permissão
beber, {event}, bebida
envolver, {event}, envolvimento
desobedecer, {event}, desobediência
instruir, {agent}, instrutor
multar, {uses}, multa
viajar, {event}, viagem
identificar, {event}, identificação
alcançar, {property}, alcance
navegar, {instrument}, navegador
codificar, {event}, codificação
desejar, {event}, desejo
consagrar, {event}, consagração
adaptar, {agent}, adaptador
pintar, {uses}, pintura
inundar, {event}, inundação
dramatizar, {event}, dramatização
empobrecer, {event}, empobrecimento
fragmentar, {event}, fragmentação
proteger, {byMeansOf}, protecção
saltar, {event}, salto
significar, {undergoer}, significado
classificar, {undergoer}, classificação
seduzir, {event}, sedução
nutrir, {byMeansOf}, nutrição
afirmar, {event}, afirmação
alinhar, {property}, alinhamento
mudar, {undergoer}, mutação
contundir, {event}, contusão
vacinar, {result}, vacinação
inchar, {event}, inchaço
estigmatizar, {byMeansOf}, estigma
atrasar, {event}, atraso
difamar, {event}, difamação
notificar, {uses}, notificação
aclamar, {event}, aclamação
coabitar, {event}, coabitação
atacar, {agent}, atacante
conceber, {event}, concepção
fabricar, {agent}, fabricante
visualizar, {result}, visualização
perfurar, {result}, perfuração
consultar, {event}, consulta
abrir, {agent}, abridor
rever, {byMeansOf}, revisão
informar, {uses}, informação
comungar, {event}, comunhão
configurar, {result}, configuração
usar, {agent}, usuário
entreter, {uses}, entretenimento
encapsular, {state}, encapsulamento
irritar, {byMeansOf}, irritação
coexistir, {event}, coexistência
preceder, {event}, precedência
restringir, {event}, restrição
compilar, {event}, compilação
cultivar, {event}, cultivo
chegar, {event}, chegada
comparar, {property}, comparação
optimizar, {event}, optimização
trocar, {event}, troca
embrulhar, {undergoer}, embrulhador
interpolar, {event}, interpolação
multiplicar, {byMeansOf}, multiplicação
vetar, {event}, veto
conceder, {state}, concessão
empurrar, {event}, empurrão
harmonizar, {event}, harmonização
manobrar, {byMeansOf}, manobra
interpretar, {uses}, interpretação
desejar, {event}, desejo
ilustrar, {uses}, ilustração
competir, {agent}, competidor
aglutinar, {event}, aglutinação
ilustrar, {uses}, ilustração
programar, {result}, programação
oxidar, {event}, oxidação
inventar, {event}, invenção
cristalizar, {byMeansOf}, cristalização
ressuscitar, {event}, ressurreição
custar, {result}, custo
empurrar, {event}, empurrão
acabar, {event}, acabamento
adquirir, {event}, aquisição
pagar, {undergoer}, pagamento
assimilar, {event}, assimilação
subir, {event}, subida
filtrar, {instrument}, filtro
vestir, {undergoer}, vestuário
renunciar, {byMeansOf}, renúncia
saturar, {event}, saturação
ejacular, {event}, ejaculação
polir, {property}, polimento
decretar, {undergoer}, decreto
ostentar, {event}, ostentamento
cair, {event}, queda
invadir, {event}, invasão
assimilar, {event}, assimilação
expatriar, {agent}, expatriado
purificar, {event}, purificação
impulsionar, {event}, impulsão
derreter, {event}, derretimento
citar, {undergoer}, citação
retificar, {event}, retificação
aumentar, {byMeansOf}, aumento
personificar, {event}, personificação
irritar, {event}, irritação
confessar, {byMeansOf}, confissão
minimizar, {event}, minimização
galvanizar, {event}, galvanização
encabeçar, {byMeansOf}, encabeçamento
comentar, {result}, comentário
começar, {event}, começo
canonizar, {event}, canonização
reiterar, {event}, reiteração
respirar, {event}, respiração
contaminar, {byMeansOf}, contaminação
discriminar, {event}, discriminação
catalogar, {agent}, catalogador
descrever, {event}, descrição
destruir, {event}, destruição
explorar, {event}, exploração
secar, {material}, secador
alistar, {event}, alistamento
insinuar, {event}, insinuação
pasteurizar, {event}, pasteurização
comer, {agent}, comedor
abortar, {event}, abortamento
curvar, {result}, curva
convidar, {event}, convite
escrever, {agent}, escritor
reavaliar, {event}, reavaliação
decidir, {event}, decisão
inchar, {event}, inchaço
validar, {event}, validação
imprimir, {instrument}, impressora
profanar, {event}, profanação
felicitar, {event}, felicitação
saudar, {byMeansOf}, saudação
refutar, {byMeansOf}, refutação
aliviar, {event}, alívio
bater, {event}, batida
esculpir, {result}, escultura
sincronizar, {event}, sincronização
emigrar, {event}, emigração
bater, {instrument}, batedor
